Cython,Python
0.001238346100,0.033302545547
0.001197814941,0.033297538757
0.001217603683,0.033675670624
0.001190185547,0.033103704453
0.001202583313,0.033581018448
0.001203060150,0.033825159073
0.001197338104,0.033099889755
0.001202344894,0.033523797989
0.001196861267,0.033866405487
0.001189231873,0.033087491989
0.001200437546,0.033120870590
0.001190185547,0.034049034119
0.001205444336,0.033218383789
0.001196861267,0.033171176910
0.001214504242,0.033416271210
0.001191854477,0.035653114319
0.001179933548,0.033496141434
0.001197814941,0.033279657364
0.001208066940,0.033241748810
0.001192331314,0.033890008926
0.001194953918,0.033342123032
0.001200199127,0.036707878113
0.001189947128,0.033107757568
0.001205682755,0.036423683167
0.001280307770,0.033470392227
0.001206398010,0.033463478088
0.001199007034,0.034235954285
0.001190662384,0.033416271210
0.001184463501,0.033610343933
0.001213312149,0.033148765564
